"job_title","job_link","job_type","job_category","posted","deadline","location","actual_job_title","company","job_status"
" Announcement of the Beneficiary's Purchase of 250 Garments at Bethesda Nyarubuye RW0911","https://www.greatrwandajobs.com/jobs/job-detail/job--Announcement-of-the-Beneficiary39;s-Purchase-of-250-Garments-at-Bethesda-Nyarubuye-RW0911-39255","Full-Time","Tenders in Rwanda","Posted: Today",2024-11-22,"Kigali"," Announcement of the Beneficiary's Purchase of 250 Garments at Bethesda Nyarubuye RW0911","Bethesda Nyarubuye RW0911","Active"
"Request for Quote/Proposal (RFQ/RFP) - Supply, Installation and Commissioning of Honey Processing Machines ( Re-advertise) at RTI International","https://www.greatrwandajobs.com/jobs/job-detail/job-Request-for-QuoteProposal-RFQRFP-Supply,-Installation-and-Commissioning-of-Honey-Processing-Machines-Re-advertise-at-RTI-International-39254","Full-Time","Tenders in Rwanda","Posted: Today",2024-11-22,"Kigali","Request for Quote/Proposal (RFQ/RFP) - Supply, Installation and Commissioning of Honey Processing Machines ( Re-advertise) at RTI International","RTI International","Active"
"Terms of Reference(ToR) for Conducting an Impact Assessment of Networking and Discussion Sessions for Agricultural Stakeholders known as Business to Business(B2B) at Cordaid","https://www.greatrwandajobs.com/jobs/job-detail/job-Terms-of-ReferenceToR-for-Conducting-an-Impact-Assessment-of-Networking-and-Discussion-Sessions-for-Agricultural-Stakeholders-known-as-Business-to-BusinessB2B-at-Cordaid-39253","Full-Time","Tenders in Rwanda",NA,NA,"Friday, November 22 2024","Terms of Reference(ToR) for Conducting an Impact Assessment of Networking and Discussion Sessions for Agricultural Stakeholders known as Business to Business(B2B) at Cordaid","Cordaid","Inactive"
"Land Lawyer job at City of Kigali","https://www.greatrwandajobs.com/jobs/job-detail/job-Land-Lawyer-job-at-City-of-Kigali-39240","Full-Time","Legal","Posted: Today",2024-11-22,"Kigali","Land Lawyer job at City of Kigali","City of Kigali","Active"
"Land Management and Notary/ Team Leader job at City of Kigali","https://www.greatrwandajobs.com/jobs/job-detail/job-Land-Management-and-Notary-Team-Leader-job-at-City-of-Kigali-39241","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Land Management and Notary/ Team Leader job at City of Kigali","City of Kigali","Active"
"Building and Infrastructure Inspector job at City of Kigali","https://www.greatrwandajobs.com/jobs/job-detail/job-Building-and-Infrastructure-Inspector-job-at-City-of-Kigali-39242","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Building and Infrastructure Inspector job at City of Kigali","City of Kigali","Active"
"Lab Technician in the School of Health Sciences - CMHS job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Lab-Technician-in-the-School-of-Health-Sciences-CMHS-job-at-University-of-Rwanda-UR-39243","Full-Time","Technician","Posted: Today",2024-11-22,"Kigali","Lab Technician in the School of Health Sciences - CMHS job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Lab Technician in the School of Dentistry School of Public Health- CMHS job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Lab-Technician-in-the-School-of-Dentistry-School-of-Public-Health-CMHS-job-at-University-of-Rwanda-UR-39244","Full-Time","Technician","Posted: Today",2024-11-22,"Kigali","Lab Technician in the School of Dentistry School of Public Health- CMHS job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Librarian- CMHS job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Librarian-CMHS-job-at-University-of-Rwanda-UR-39245","Full-Time","Education/ Academic/ Teaching","Posted: Today",2024-11-22,"Kigali","Librarian- CMHS job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Driver job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Driver-job-at-University-of-Rwanda-UR-39246","Full-Time","Logistics/ Transportation/ Procurements","Posted: Today",2024-11-22,"Kigali","Driver job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Driver- Remera Campus job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Driver-Remera-Campus-job-at-University-of-Rwanda-UR-39247","Full-Time","Logistics/ Transportation/ Procurements","Posted: Today",2024-11-22,"Kigali","Driver- Remera Campus job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Electrician - Remera Campus job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Electrician-Remera-Campus-job-at-University-of-Rwanda-UR-39248","Full-Time","Engineering","Posted: Today",2024-11-22,"Kigali","Electrician - Remera Campus job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Plumber - Remera Campus job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Plumber-Remera-Campus-job-at-University-of-Rwanda-UR-39249","Full-Time","Engineering","Posted: Today",2024-11-22,"Kigali","Plumber - Remera Campus job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Administrative Assistant to the School of Health Sciences- CMHS job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Administrative-Assistant-to-the-School-of-Health-Sciences-CMHS-job-at-University-of-Rwanda-UR-39250","Full-Time","Administrative","Posted: Today",2024-11-22,"Kigali","Administrative Assistant to the School of Health Sciences- CMHS job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Administrative Assistant to Dean of School of Dentistry job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Administrative-Assistant-to-Dean-of-School-of-Dentistry-job-at-University-of-Rwanda-UR-39251","Full-Time","Administrative","Posted: Today",2024-11-22,"Kigali","Administrative Assistant to Dean of School of Dentistry job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Lab Technician in the School of Medicine and Pharmacy - CMHS job at University of Rwanda (UR)","https://www.greatrwandajobs.com/jobs/job-detail/job-Lab-Technician-in-the-School-of-Medicine-and-Pharmacy-CMHS-job-at-University-of-Rwanda-UR-39252","Full-Time","Health/ Medicine","Posted: Today",2024-11-22,"Kigali","Lab Technician in the School of Medicine and Pharmacy - CMHS job at University of Rwanda (UR)","University of Rwanda (UR)","Active"
"Social Registry Communication Specialist job at Ministry of Local Government ( MINALOC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Social-Registry-Communication-Specialist-job-at-Ministry-of-Local-Government-MINALOC-39239","Full-Time","Communications/ Public Relations","Posted: Today",2024-11-22,"Kigali","Social Registry Communication Specialist job at Ministry of Local Government ( MINALOC)","Ministry of Local Government ( MINALOC)","Active"
"Director of lsange One Stop Center Unit job at Musanze District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-lsange-One-Stop-Center-Unit-job-at-Musanze-District-39237","Full-Time","Management","Posted: Today",2024-11-22,"Musanze","Director of lsange One Stop Center Unit job at Musanze District","Musanze District","Active"
"Director of Allied Health Services Directorate job at Musanze District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Allied-Health-Services-Directorate-job-at-Musanze-District-39238","Full-Time","Management","Posted: Today",2024-11-22,"Musanze","Director of Allied Health Services Directorate job at Musanze District","Musanze District","Active"
"Director of Education, Research/CPD and Quality Assurance Unit job at Musanze District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Education,-ResearchCPD-and-Quality-Assurance-Unit-job-at-Musanze-District-39236","Full-Time","Education/ Academic/ Teaching","Posted: Today",2024-11-22,"Musanze","Director of Education, Research/CPD and Quality Assurance Unit job at Musanze District","Musanze District","Active"
"Director of Quality Assurance Management Unit job at Musanze District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Quality-Assurance-Management-Unit-job-at-Musanze-District-39235","Full-Time","Management","Posted: Today",2024-11-22,"Musanze","Director of Quality Assurance Management Unit job at Musanze District","Musanze District","Active"
"Examinations Specifications and Syllabus Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Examinations-Specifications-and-Syllabus-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39222","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Examinations Specifications and Syllabus Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Tailoring and Fashion Design Trades Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Tailoring-and-Fashion-Design-Trades-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39223","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Tailoring and Fashion Design Trades Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Forestry and Wood Trades Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Forestry-and-Wood-Trades-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39224","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Forestry and Wood Trades Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Hospitality and Tourism Trades Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Hospitality-and-Tourism-Trades-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39225","Full-Time","Hospitality/ Chef/ Cook","Posted: Today",2024-11-22,"Kigali","Hospitality and Tourism Trades Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Water and Irrigation Trades Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Water-and-Irrigation-Trades-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39226","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Water and Irrigation Trades Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"History Examination Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-History-Examination-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39227","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","History Examination Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Digital Monitoring School Achievement Specialist job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Digital-Monitoring-School-Achievement-Specialist-job-at-National-Examination-and-School-Inspection-Authority-NESA-39228","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Digital Monitoring School Achievement Specialist job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Digital Assessment Technology Specialist job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Digital-Assessment-Technology-Specialist-job-at-National-Examination-and-School-Inspection-Authority-NESA-39229","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Digital Assessment Technology Specialist job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Biology Examination Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Biology-Examination-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39230","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Biology Examination Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Measurement of Learning Achievement Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Measurement-of-Learning-Achievement-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39231","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Measurement of Learning Achievement Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Certification Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Certification-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39232","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Certification Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Mathematics Examination Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Mathematics-Examination-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39233","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Mathematics Examination Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Data Integration Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Data-Integration-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39234","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Data Integration Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Internal Auditor job at Ministry of Education (MINEDUC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Internal-Auditor-job-at-Ministry-of-Education-MINEDUC-39207","Full-Time","Accounting/ Finance","Posted: Today",2024-11-22,"Kigali","Internal Auditor job at Ministry of Education (MINEDUC)","Ministry of Education (MINEDUC)","Active"
"Secretary to Finance job at Ministry of Education (MINEDUC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Secretary-to-Finance-job-at-Ministry-of-Education-MINEDUC-39208","Full-Time","Administrative","Posted: Today",2024-11-22,"Kigali","Secretary to Finance job at Ministry of Education (MINEDUC)","Ministry of Education (MINEDUC)","Active"
"Internal Audit Specialist job at Ministry of Education (MINEDUC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Internal-Audit-Specialist-job-at-Ministry-of-Education-MINEDUC-39209","Full-Time","Accounting/ Finance","Posted: Today",2024-11-22,"Kigali","Internal Audit Specialist job at Ministry of Education (MINEDUC)","Ministry of Education (MINEDUC)","Active"
"Director of Quality Assurance Management Unit job at Rwamagana District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Quality-Assurance-Management-Unit-job-at-Rwamagana-District-39215","Full-Time","Management","Posted: Today",2024-11-22,"Rwamagana","Director of Quality Assurance Management Unit job at Rwamagana District","Rwamagana District","Active"
"Director of Education and Research Unit job at Rwamagana District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Education-and-Research-Unit-job-at-Rwamagana-District-39216","Full-Time","Education/ Academic/ Teaching","Posted: Today",2024-11-22,"Rwamagana","Director of Education and Research Unit job at Rwamagana District","Rwamagana District","Active"
"Director of lsange One Stop Center Unit job at Rwamagana District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-lsange-One-Stop-Center-Unit-job-at-Rwamagana-District-39217","Full-Time","Management","Posted: Today",2024-11-22,"Rwamagana","Director of lsange One Stop Center Unit job at Rwamagana District","Rwamagana District","Active"
"Director of Allied Health Sciences Services Directorate job at Rwamagana District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Allied-Health-Sciences-Services-Directorate-job-at-Rwamagana-District-39218","Full-Time","Management","Posted: Today",2024-11-22,"Rwamagana","Director of Allied Health Sciences Services Directorate job at Rwamagana District","Rwamagana District","Active"
"Director of Allied Health Sciences Services Directorate job at Rwamagana District","https://www.greatrwandajobs.com/jobs/job-detail/job-Director-of-Allied-Health-Sciences-Services-Directorate-job-at-Rwamagana-District-39219","Full-Time","Management","Posted: Today",2024-11-22,"Rwamagana","Director of Allied Health Sciences Services Directorate job at Rwamagana District","Rwamagana District","Active"
"Integrated Disease Detective, Surveillance and Response Specialist job at Rwamagana District","https://www.greatrwandajobs.com/jobs/job-detail/job-Integrated-Disease-Detective,-Surveillance-and-Response-Specialist-job-at-Rwamagana-District-39220","Full-Time","Management","Posted: Today",2024-11-22,"Rwamagana","Integrated Disease Detective, Surveillance and Response Specialist job at Rwamagana District","Rwamagana District","Active"
"Land Use Education and Mainstreaming Specialist job at National Land Authority (NLA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Land-Use-Education-and-Mainstreaming-Specialist-job-at-National-Land-Authority-NLA-39210","Full-Time","Education/ Academic/ Teaching","Posted: Today",2024-11-22,"Kigali","Land Use Education and Mainstreaming Specialist job at National Land Authority (NLA)","National Land Authority (NLA)","Active"
"Spatial Data Infrastructure Specialist job at National Land Authority (NLA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Spatial-Data-Infrastructure-Specialist-job-at-National-Land-Authority-NLA-39211","Full-Time","Computer/ IT","Posted: Today",2024-11-22,"Kigali","Spatial Data Infrastructure Specialist job at National Land Authority (NLA)","National Land Authority (NLA)","Active"
"Land Use Compliance and Inspection Specialist job at National Land Authority (NLA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Land-Use-Compliance-and-Inspection-Specialist-job-at-National-Land-Authority-NLA-39212","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Land Use Compliance and Inspection Specialist job at National Land Authority (NLA)","National Land Authority (NLA)","Active"
"Investment spatial compliance Specialist job at National Land Authority (NLA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Investment-spatial-compliance-Specialist-job-at-National-Land-Authority-NLA-39213","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Investment spatial compliance Specialist job at National Land Authority (NLA)","National Land Authority (NLA)","Active"
"Administrative Assistant job at National Land Authority (NLA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Administrative-Assistant-job-at-National-Land-Authority-NLA-39214","Full-Time","Administrative","Posted: Today",2024-11-22,"Kigali","Administrative Assistant job at National Land Authority (NLA)","National Land Authority (NLA)","Active"
"Beauty and Aesthetics Trades Officer job at National Examination and School Inspection Authority (NESA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Beauty-and-Aesthetics-Trades-Officer-job-at-National-Examination-and-School-Inspection-Authority-NESA-39221","Full-Time","Management","Posted: Today",2024-11-22,"Kigali","Beauty and Aesthetics Trades Officer job at National Examination and School Inspection Authority (NESA)","National Examination and School Inspection Authority (NESA)","Active"
"Communication Specialist job at Ministry of Education (MINEDUC)","https://www.greatrwandajobs.com/jobs/job-detail/job-Communication-Specialist-job-at-Ministry-of-Education-MINEDUC-39206","Full-Time","Communications/ Public Relations","Posted: Today",2024-11-22,"Kigali","Communication Specialist job at Ministry of Education (MINEDUC)","Ministry of Education (MINEDUC)","Active"
"School Construction Field Officers job at Ministry of Education (MINEDUC)","https://www.greatrwandajobs.com/jobs/job-detail/job-School-Construction-Field-Officers-job-at-Ministry-of-Education-MINEDUC-39205","Full-Time","Education/ Academic/ Teaching","Posted: Today",2024-11-22,"Kigali","School Construction Field Officers job at Ministry of Education (MINEDUC)","Ministry of Education (MINEDUC)","Active"
"Terms of Reference - Evaluation Rwanda at KOLPING","https://www.greatrwandajobs.com/jobs/job-detail/job-Terms-of-Reference-Evaluation-Rwanda-at-KOLPING-39204","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-22,"Lusaka","Terms of Reference - Evaluation Rwanda at KOLPING","KOLPING","Active"
"Tender Notice for Supplying Electronics Devices at FXB Rwanda","https://www.greatrwandajobs.com/jobs/job-detail/job-Tender-Notice-for-Supplying-Electronics-Devices-at-FXB-Rwanda-39203","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-22,"Kigali","Tender Notice for Supplying Electronics Devices at FXB Rwanda","FXB Rwanda","Active"
"Field Officers job at Initiative pour la Promotion de la Famille et du Genre (IPFG)","https://www.greatrwandajobs.com/jobs/job-detail/job-Field-Officers-job-at-Initiative-pour-la-Promotion-de-la-Famille-et-du-Genre-IPFG-39202","Full-Time","Administrative","Posted: 1 Day Ago",2024-11-19,"Kigali","Field Officers job at Initiative pour la Promotion de la Famille et du Genre (IPFG)","Initiative pour la Promotion de la Famille et du Genre (IPFG)","Active"
"Project Field Coordinators job at Initiative pour la Promotion de la Famille et du Genre (IPFG)","https://www.greatrwandajobs.com/jobs/job-detail/job-Project-Field-Coordinators-job-at-Initiative-pour-la-Promotion-de-la-Famille-et-du-Genre-IPFG-39201","Full-Time","Administrative","Posted: 1 Day Ago",2024-11-19,"Kigali","Project Field Coordinators job at Initiative pour la Promotion de la Famille et du Genre (IPFG)","Initiative pour la Promotion de la Famille et du Genre (IPFG)","Active"
"Supply of Fuel tender at World Vision","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Fuel-tender-at-World-Vision-39200","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-11,"Kigali","Supply of Fuel tender at World Vision","World Vision","Active"
"Supply and Installation of Vehicle Tracking System tender at World Vision","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-and-Installation-of-Vehicle-Tracking-System-tender-at-World-Vision-39199","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-11,"Kigali","Supply and Installation of Vehicle Tracking System tender at World Vision","World Vision","Active"
"Supply of Electricity job at World Vision","https://www.greatrwandajobs.com/jobs/job-detail/job-Supply-of-Electricity-job-at-World-Vision-39198","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-11,"Kigali","Supply of Electricity job at World Vision","World Vision","Active"
"Saving for Transformation Specialist job at World Vision","https://www.greatrwandajobs.com/jobs/job-detail/job-Saving-for-Transformation-Specialist-job-at-World-Vision-39197","Full-Time","Administrative","Posted: 1 Day Ago",2024-11-20,"Kigali","Saving for Transformation Specialist job at World Vision","World Vision","Active"
"Resilience & Livelihood Coordinator-tunga Cluster job at World Vision","https://www.greatrwandajobs.com/jobs/job-detail/job-Resilience-Livelihood-Coordinator-tunga-Cluster-job-at-World-Vision-39196","Full-Time","Administrative","Posted: 1 Day Ago",2024-11-20,"Kigali","Resilience & Livelihood Coordinator-tunga Cluster job at World Vision","World Vision","Active"
"Empowered Worldview Specialist job at World Vision","https://www.greatrwandajobs.com/jobs/job-detail/job-Empowered-Worldview-Specialist-job-at-World-Vision-39195","Full-Time","Administrative","Posted: 1 Day Ago",2024-11-20,"Kigali","Empowered Worldview Specialist job at World Vision","World Vision","Active"
"Call for Interested Women-Led Tourism Businesses and Tour Guides to Comply with Tourism Regulations tender at Rwanda Chamber of Tourism","https://www.greatrwandajobs.com/jobs/job-detail/job-Call-for-Interested-Women-Led-Tourism-Businesses-and-Tour-Guides-to-Comply-with-Tourism-Regulations-tender-at-Rwanda-Chamber-of-Tourism-39194","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-15,"Kigali","Call for Interested Women-Led Tourism Businesses and Tour Guides to Comply with Tourism Regulations tender at Rwanda Chamber of Tourism","Rwanda Chamber of Tourism","Active"
"Site Security Facilitator job at CCI Rwanda Ltd","https://www.greatrwandajobs.com/jobs/job-detail/job-Site-Security-Facilitator-job-at-CCI-Rwanda-Ltd-39193","Full-Time","Security, Homeland Security","Posted: 1 Day Ago",2024-11-15,"Kigali","Site Security Facilitator job at CCI Rwanda Ltd","CCI Rwanda Ltd","Active"
"Construction of Road in Mahama Refugee Camp tender at Adventist Development and Relief Agency (ADRA)","https://www.greatrwandajobs.com/jobs/job-detail/job-Construction-of-Road-in-Mahama-Refugee-Camp-tender-at-Adventist-Development-and-Relief-Agency-ADRA-39192","Full-Time","Tenders in Rwanda","Posted: 1 Day Ago",2024-11-20,"Kigali","Construction of Road in Mahama Refugee Camp tender at Adventist Development and Relief Agency (ADRA)","Adventist Development and Relief Agency (ADRA)","Active"
